dataset,algorithm,n,k,id,time,mst_cost,min_dist,kmeans_loss,smallest_cluster,seed,min_size,min_dist_upper_bound,search_all
collins,fs,1000,30,8,0.08135366439819336,11.08498978985969,0.3780039683293321,399.6291196537745,14,,19.0,,
collins,fs,1000,30,9,0.06519651412963867,12.785118752975192,0.42887753880662305,404.7211932718187,6,,9.0,,
collins,fs,1000,30,10,0.061763763427734375,13.20826749172591,0.4430556602090319,407.4130252968841,5,,7.0,,
digits,fs,1797,10,1,0.09825301170349121,175.00529195950367,19.4164878389476,1615929.7826395365,107,,129.0,,
digits,fs,1797,10,2,0.12313389778137207,179.84847057134064,19.8997487421324,1525232.675198289,91,,113.0,,
digits,fs,1797,10,9,0.12280488014221191,179.84847057134064,19.8997487421324,1525232.675198289,91,,122.0,,
digits,fs,1797,10,9,0.12280488014221191,179.84847057134064,19.8997487421324,1525232.675198289,91,,122.0,,
digits,fs,1797,10,10,0.12560653686523438,175.00529195950367,19.4164878389476,1615929.7826395365,107,,133.0,,
digits,fs,1797,10,8,0.12316489219665527,178.97164859773528,19.82422760159901,1525854.6807746072,93,,125.0,,
digits,fs,1797,10,7,0.12331080436706543,179.84847057134064,19.8997487421324,1525232.675198289,91,,121.0,,
digits,fs,1797,10,8,0.12316489219665527,178.97164859773528,19.82422760159901,1525854.6807746072,93,,125.0,,
digits,fs,1797,10,9,0.12280488014221191,179.84847057134064,19.8997487421324,1525232.675198289,91,,122.0,,
digits,fs,1797,10,10,0.12560653686523438,175.00529195950367,19.4164878389476,1615929.7826395365,107,,133.0,,
iris,fs,150,3,10,0.011466741561889648,0.5291502622129192,0.26457513110644615,578.7612175233692,38,,51.0,,
iris,fs,150,3,10,0.011466741561889648,0.5291502622129192,0.26457513110644615,578.7612175233692,38,,51.0,,
iris,fs,150,3,10,0.011466741561889648,0.5291502622129192,0.26457513110644615,578.7612175233692,38,,51.0,,
iris,fs,150,3,10,0.011466741561889648,0.5291502622129192,0.26457513110644615,578.7612175233692,38,,51.0,,
iris,fs,150,3,10,0.011466741561889648,0.5291502622129192,0.26457513110644615,578.7612175233692,38,,51.0,,
iris,fs,150,3,10,0.011466741561889648,0.5291502622129192,0.26457513110644615,578.7612175233692,38,,51.0,,
iris,fs,150,3,10,0.011466741561889648,0.5291502622129192,0.26457513110644615,578.7612175233692,38,,51.0,,
iris,fs,150,3,10,0.011466741561889648,0.5291502622129192,0.26457513110644615,578.7612175233692,38,,51.0,,
iris,fs,150,3,10,0.011466741561889648,0.5291502622129192,0.26457513110644615,578.7612175233692,38,,51.0,,
iris,fs,150,3,10,0.011466741561889648,0.5291502622129192,0.26457513110644615,578.7612175233692,38,,51.0,,
letter,fs,20000,26,1,1.2732207775115967,4.999999999999955,0.19999999999999565,6340.151451709212,175,,234.0,,
letter,fs,20000,26,9,1.3410124778747559,4.999999999999963,0.19999999999999565,6327.242275404264,174,,233.0,,
